Batch,Average Reward
2275,-3.827115297317505
2278,-4.413543701171875
2281,-4.439492702484131
2284,-4.1836347579956055
2287,-3.7979798316955566
2290,-3.797976016998291
2293,-4.311124324798584
2296,-4.091402053833008
2299,-4.198646545410156
2302,-4.276641368865967
2305,-3.6440927982330322
2308,-4.326320648193359
2311,-3.931657314300537
2314,-4.118030548095703
2317,-3.84913969039917
2320,-4.381839275360107
2323,-4.264087677001953
2326,-4.099517822265625
2329,-4.30369234085083
2332,-4.010584831237793
2335,-4.079075813293457
2338,-4.183019161224365
2341,-4.100881099700928
2344,-3.6497223377227783
2347,-3.818329095840454
2350,-3.7234530448913574
2353,-4.124236106872559
2356,-3.988767147064209
2359,-3.414412021636963
2362,-4.082849979400635
2365,-4.219952583312988
2368,-4.290831565856934
2371,-3.749518632888794
2374,-3.716547727584839
2377,-3.7293198108673096
2380,-4.176214694976807
2383,-4.132872581481934
2386,-4.287169456481934
2389,-3.640324354171753
2392,-4.068362712860107
2395,-3.752629280090332
2398,-4.327395915985107
2401,-3.5765998363494873
2404,-4.271471977233887
2407,-4.755551338195801
2410,-4.151784896850586
2413,-4.028646945953369
2416,-4.302420139312744
2419,-4.407308101654053
2422,-4.327635765075684
2425,-3.6242635250091553
2428,-3.6521947383880615
2431,-4.419131755828857
2434,-3.567664384841919
2437,-4.8181562423706055
2440,-3.4929893016815186
2443,-4.421823024749756
2446,-4.525387763977051
2449,-4.158465385437012
2452,-3.935558319091797
2455,-3.947141408920288
2458,-4.992189407348633
2461,-3.910517454147339
2464,-4.17250919342041
2467,-3.2558553218841553
2470,-4.751543045043945
2473,-4.3143720626831055
2476,-4.0572428703308105
2479,-4.0864152908325195
2482,-3.620939016342163
2485,-4.021805763244629
2488,-3.9931604862213135
2491,-3.6392860412597656
2494,-4.799089431762695
2497,-3.5583689212799072
2500,-4.605626106262207
2503,-4.147724628448486
2506,-4.88844108581543
2509,-4.209197044372559
2512,-4.536333084106445
2515,-5.827509880065918
2518,-3.7287251949310303
2521,-3.980607032775879
2524,-4.263247489929199
2527,-3.678189754486084
2530,-3.824998140335083
2533,-3.937493324279785
2536,-4.538757801055908
2539,-3.84059739112854
2542,-3.64359974861145
2545,-3.5027806758880615
2548,-3.9080965518951416
2551,-4.218345642089844
2554,-3.74027681350708
2557,-4.210188865661621
2560,-4.719490051269531
2563,-4.520395755767822
2566,-3.974769353866577
2569,-3.888819456100464
2572,-4.514354228973389
2575,-4.946460247039795
2578,-3.647562026977539
2581,-4.4453887939453125
2584,-4.685870170593262
2587,-4.289751052856445
2590,-3.5872364044189453
2593,-4.106330871582031
2596,-4.370702266693115
2599,-4.065150737762451
2602,-3.8431577682495117
2605,-3.559142589569092
2608,-3.8111412525177
2611,-4.607301235198975
2614,-3.554408073425293
2617,-4.2225022315979
2620,-4.360270023345947
2623,-4.207411766052246
2626,-4.479374885559082
