 [  0.56251069 395.19158855]
 [  0.55600122 395.20305417]
 [  0.54912096 395.21171912]
 [  0.54512794 395.21994872]
 [  0.54035966 395.22444479]
 [  0.53937786 395.22871492]
 [  0.5370603  395.22850486]
 [  0.53932043 395.22851248]
 [  0.5395194  395.22349335]
 [  0.54497413 395.21937339]
 [  0.54748083 395.20988009]
 [  0.55581167 395.20218969]
 [  0.56016319 395.1889625 ]
 [  0.57081002 395.17862918]
 [  0.57633147 395.16274544]
 [  0.58854337 395.15098165]]"
"[[  0.56027513 396.81876969]
 [  0.54973473 396.77491625]
 [  0.53932924 396.70155883]
 [  0.52907167 396.60059985]
 [  0.51897583 396.46988899]
 [  0.50905649 396.30716403]
 [  0.49932858 396.11346684]
 [  0.48980633 395.89025512]
 [  0.48050292 395.63935625]
 [  0.47143014 395.36290851]
 [  0.54163934 395.12826518]
 [  0.60700118 394.98927133]
 [  0.6475964  394.92882477]
 [  0.6667164  394.91589679]
 [  0.6693156  394.92366692]
 [  0.66189526 394.93498228]
 [  0.6522404  394.94467484]
 [  0.64565228 394.95633286]
 [  0.63440785 394.96667119]
 [  0.62696286 394.97863388]
 [  0.61598429 394.98969621]
 [  0.60760193 395.00127959]
 [  0.59770186 395.01191516]
 [  0.58986089 395.02255285]
 [  0.58131847 395.03175116]
 [  0.57478848 395.04017631]
 [  0.56821549 395.04652789]
 [  0.5636443  395.05130635]
 [  0.55957039 395.05341458]
 [  0.55856016 395.054883  ]
 [  0.56134    395.05942792]
 [  0.55404546 395.05085307]
 [  0.57075854 395.05722166]
 [  0.5611621  395.04730863]
 [  0.57724255 395.0483381 ]
 [  0.5674231  395.02727221]
 [  0.59868489 395.03124678]
 [  0.58834576 395.01572272]
 [  0.60842369 395.01322032]
 [  0.59774362 394.98368959]
 [  0.63850869 394.98571887]
 [  0.62711344 394.97213951]
 [  0.64393569 394.96921932]
 [  0.63363471 394.93989227]
 [  0.67335432 394.94477817]
 [  0.66102345 394.93623962]
 [  0.66991523 394.93345279]
 [  0.66115158 394.91180056]
 [  0.69091384 394.92097167]
 [  0.6781393  394.9202131 ]
 [  0.67721065 394.91906348]
 [  0.66914519 394.9088235 ]
 [  0.68485958 394.92735657]
 [  0.67231852 394.93511765]
 [  0.66007359 394.93368741]
 [  0.6563747  394.93717671]
 [  0.65366896 394.94866979]
 [  0.64200815 394.95591064]
 [  0.63600559 394.96796352]
 [  0.62484335 394.97754059]
 [  0.61521561 394.98683431]
 [  0.60731788 394.99811699]
 [  0.59841589 395.00926386]
 [  0.58914308 395.01869036]
 [  0.58235372 395.02880446]
 [  0.57444618 395.03637614]
 [  0.56980235 395.04448858]
 [  0.56363957 395.04889682]
 [  0.5621914  395.05454305]
 [  0.55782701 395.05487573]
 [  0.56034213 395.05796566]
 [  0.55753319 395.05365866]
 [  0.56450359 395.05446127]
 [  0.56271488 395.04529714]
 [  0.57435893 395.04442962]
 [  0.57278135 395.03052536]
 [  0.58906302 395.0288622 ]
 [  0.5866873  395.01068136]
 [  0.60736209 395.00712949]
 [  0.60432891 394.98734113]
 [  0.6269595  394.9837535 ]
 [  0.62276068 394.9634171 ]
 [  0.64623966 394.96103942]
 [  0.64000521 394.94100761]
 [  0.66357268 394.94114548]
 [  0.65426357 394.92208904]
 [  0.67745577 394.92604602]
 [  0.66496512 394.90982882]
 [  0.68523182 394.91917597]
 [  0.67256553 394.90980569]
 [  0.68267336 394.91641314]
 [  0.67008731 394.90747946]
 [  0.68236311 394.92212809]
 [  0.66987059 394.92586552]
 [  0.66373297 394.92952247]
 [  0.65683074 394.93349637]
 [  0.6551058  394.94699035]
 [  0.64341924 394.95630086]
 [  0.63474117 394.96644666]
 [  0.62456713 394.97552387]
 [  0.61657612 394.98679363]
 [  0.60708304 394.99771839]
 [  0.59813691 395.00841994]
 [  0.58992772 395.01900365]
 [  0.5817711  395.02824434]
 [  0.57511085 395.03680381]
 [  0.56923394 395.04406911]
 [  0.56414243 395.04922509]
 [  0.56181531 395.05431269]
 [  0.55805237 395.05497848]
 [  0.56030609 395.05801834]
 [  0.55734519 395.05342674]
 [  0.56495115 395.05490197]
 [  0.56197105 395.04462351]
 [  0.57543428 395.04536594]
 [  0.57133717 395.02930347]
 [  0.59095306 395.02866731]
 [  0.58545811 395.00860648]
 [  0.60972441 395.00652149]
 [  0.60304736 394.98475477]
 [  0.62973061 394.98295863]
 [  0.62131926 394.96039168]
 [  0.64943432 394.95999254]
 [  0.63843717 394.93752504]
 [  0.66718533 394.93968807]
 [  0.6549718  394.92164238]
 [  0.67797021 394.92697113]
 [  0.66546954 394.91157257]
 [  0.68454179 394.92112337]
 [  0.67188793 394.91082299]
 [  0.68313486 394.91818893]
 [  0.67053951 394.91004037]
 [  0.68132442 394.92324432]
 [  0.66885103 394.92548357]
 [  0.66536586 394.93160924]
 [  0.65377992 394.93104406]
 [  0.65923866 394.95071216]
 [  0.64747538 394.96641713]
 [  0.63601365 394.97902958]
 [  0.62484793 394.98916814]
 [  0.61397036 394.99713389]
 [  0.60337101 395.00289037]
 [  0.5974224  395.01274272]
 [  0.58742122 395.01970373]
 [  0.58286314 395.03063999]
 [  0.57307361 395.036202  ]
 [  0.57095561 395.04606503]
 [  0.56168284 395.04755982]
 [  0.56448731 395.05664842]
 [  0.55510632 395.05292656]
 [  0.56354062 395.06080913]
 [  0.55414904 395.05146987]
 [  0.56832379 395.05800249]
 [  0.5587766  395.04299516]
 [  0.57871638 395.04614486]
 [  0.56887519 395.0263691 ]
 [  0.59475141 395.02729553]
 [  0.5844829  395.00569074]
 [  0.61275679 395.00579367]
 [  0.60200101 394.98240298]
 [  0.63251156 394.98265051]
 [  0.62122681 394.95993269]
 [  0.65057695 394.96057662]
 [  0.6388012  394.93869554]
 [  0.66712227 394.94114823]
 [  0.65490946 394.92308347]
 [  0.67803311 394.92864422]
 [  0.66553072 394.91342765]
 [  0.68434694 394.92278293]
 [  0.67169625 394.91227876]
